diatessaron_section	diatessaron_verse	gospel_book	gospel_chapter	gospel_verse	text_snippet
1	38	Luke	1	37	called barren. For nothing shall be difficult
1	39	Luke	1	38	to God. Mary said, Behold, I am the hand- maid of the Lord; be it done unto me according to thy word. And the angel departed from her.
1	40	Luke	1	39	Then Mary arose in those days, and went into the hill country with haste, unto a city
1	41	Luke	1	40	of Judah; and entered into the house of
1	42	Luke	1	41	Zacharias, and saluted Elizabeth. And when Elizabeth heard the salutation of Mary, the babe rejoiced in her womb ; and Elizabeth was filled with the Holy Spirit;
1	43	Luke	1	42	and she cried out with a loud voice, and said imto Mary, Blessed a/rt thou among women, and blessed is the fruit that is in
1	44	Luke	1	43	thy womb. Whence is this to me, that the mother of my Lord cometh unto me ?
1	45	Luke	1	44	When the voice of thy salutation came to mine ears, the babe leaped in my womb in
1	46	Luke	1	45	great joy. And blessed is she that believed ; for that shall be performed, which was spoken
1	47	Luke	1	46	from the Lord. And Mary saith : My soul doth magnify the Lord,
1	48	Luke	1	47	And my spirit hath rejoiced in God my Saviour,
1	49	Luke	1	48	Who hath looked upon the low estate of his handmaiden : Behold, from henceforth all generations shall call me blessed.
1	50	Luke	1	49	Eor he that is mighty hath done to me great things ; And holy is his name ;
1	51	Luke	1	50	And his mercy from a generation to generations Embraceth them that fear him. 152 He hath wrought victory by his arm, Lu. 1 5 1 And he hath scattered the proud in their opinions.
1	53	Luke	1	52	He hath put down the haughty from the thrones, And hath exalted the humble.
1	54	Luke	1	53	The himgry he hath filled with good things ; And the rich he hath left without anything.
1	55	Luke	1	54	He hath holpen Israel his servant, And remembered his mercy
1	56	Luke	1	55	(As he spake unto our fathers) Unto Abraham and unto his seed for ever.
1	57	Luke	1	56	And Mary abode with EUzabeth about three months, and returned unto her house.
1	59	Luke	1	58	And her neighbours and kinsfolk heard that God had multiplied his mercy towards her ;
1	60	Luke	1	59	and they rejoiced with her. And on the eighth day they came to circumcise the child ; and they called him Zacharias, after the
1	61	Luke	1	60	name of his father. And his mother answered and said unto them, Not so ; but
1	62	Luke	1	61	he shall be called John. And they said unto her. There is no one among thy kindred
1	63	Luke	1	62	that is called by this name. And they made signs to his father. How do you wish to call
1	64	Luke	1	63	him ? And he asked for a writing tablet, and wrote, saying. His name is John. And
1	65	Luke	1	64	they all marvelled. And his mouth was opened immediately, and his tongue loos&d,
1	66	Luke	1	64	and he spake, and praised God. And fear ,, 65 fell on all their neighbours : and this was noised abroad over all the hill country of
1	67	Luke	1	66	Judaea. And all that heard iif, thought in their heart saying, What shall this child be ? For the hand of the Lord was with him.
1	68	Luke	1	67	And his father Zacharias was filled with the Holy Spirit, and prophesied, and said.
2	1	Luke	2	13	clothes, and laid in a manger. And suddenly there appeared with the angels an abundant heavenly host praising God, and sayiag,
2	9	Luke	2	1	And after eight days were fulfilled, that the child should be circumcised, his name was called JESUS ; and this is what he was called by the angel, before he was conceived in the womb.
2	16	Luke	2	8	And there were shepherds staying in that country, who were guarding their flock in
2	17	Luke	2	9	the watch of the night. And behold, an angel of God came near unto them; and the glory of the Lord shone round about them; and they were afraid with a great
2	18	Luke	2	10	fear. And the angel said unto them. Be not afraid ; for I bring you as good tidings a great joy that shall be to the whole world :
2	19	Luke	2	10	there is born to you this day in the city of „ II David a Saviour, which is the Lord the
2	20	Luke	2	12	Messiah. And this is the sign unto you: Ye shall find a babe wrapped in swaddling
2	22	Luke	2	14	Glory to God in the highest, And on earth peace, and good hope to men.
2	23	Luke	2	15	And when the angels went away from them into heaven, the shepherds spake one to another, saying. Let us go to Bethlehem, and see this saying that is come to pass,
2	24	Luke	2	16	even as the Lord hath showed us. And they came with haste and found Mary and Joseph, and the babe laid in the manger.
2	25	Luke	2	17	And when they had seen it, they related the sayiag which had been spoken to them about
2	26	Luke	2	18	the child. And aU that heard it wondered at the description, which the shepherds had
2	27	Luke	2	19	described to them. But Mary was keeping all these sayings, and comparing them in
2	28	Luke	2	20	her heart. And those shepherds returned, glorifying and praising God for all the things that they had seen and heard, even as it was described unto them.
2	30	Luke	2	22	And when the days of their purification according to the law of Moses were fulfilled, they brought him to Jerusalem to present
2	31	Luke	2	23	him before the Lord, as it is written in the law of the Lord, Every male that openeth the
2	32	Luke	2	24	womb shall be called holy to the Lord, and to offer a sacrifice according to that which is said in the law of the Lord, A pair of turtle
2	33	Luke	2	25	doves, or two young pigeons. And there was a man in Jerusalem, whose name was Simeon ; and this man was righteous, de- vout, and looking for the consolation of Israel : and the Holy Spirit was upon hi
2	34	Luke	2	26	And it had been said unto him by the Holy Spirit, that he was not going to see death, until he set his eyes upon the Lords
2	35	Luke	2	27	Christ. And he came in the Spirit into the temple : and when his parents brought in the child Jesus, that they might offer a sacrifice for him, as it is written in the law,
2	36	Luke	2	28	he took him up into his arms, and praised God, and said,
2	37	Luke	2	29	Now wilt thou loose the bonds of thy servant, Lord, According to thy word, in peace.
2	38	Luke	2	30	For already mine eyes have witnessed thy mercy,
2	39	Luke	2	31	Which thou hast prepared on account of the whole world,
2	40	Luke	2	32	A Hght for the unveiling of the Gentiles, And a glory for thy people Israel.
2	41	Luke	2	33	And Joseph and his mother were marvel- ling at these things which were spoken con-
2	42	Luke	2	34	cerning him; and Simeon blessed them, and said unto Mary his mother. Behold he is set for the falling and for the risiug again of many in Israel ; and for a sign of contradiction ;
2	43	Luke	2	35	and a sword shall pierce through thine own soul, that the thoughts of many hearts may
2	44	Luke	2	36	be revealed. And Anna, a prophetess, the daughter of Phanuel, of the tribe of Asher, she also was advanced in age, and had lived with her husband for seven years from her
2	45	Luke	2	36	virginity ; and she remained a widow about „ t] fourscore and four years, and departed not from the temple worshipping with fastings and
2	46	Luke	2	38	supplications night and day. And she also stood up at that hour, and gave thanks unto the Lord, and spake of him to aU that were looking for the deliverance of Jerusalem.
2	47	Luke	2	39	And when they had accomplished all things according to what is in the law of the Lord, they returned into Galilee, to their own city Nazareth.
3	1	Matt	2	1	After these things wise men from the
3	2	Matt	2	2	east came to Jerusalem, saying. Where is the king of the Jews, who has been born ? We have seen his star in the east, and are come
3	3	Matt	2	2	to worship him. And when Herod the king heard it, he was troubled, and all Jerusalem
3	4	Matt	2	2	with him. And gathering together aU the chief priests and scribes of the people, he inquired of them, where the Messiah should
3	5	Matt	2	2	be born. And they said. In Bethlehem of Judah : thus it is written in the prophet,
3	6	Matt	2	2	And thou, Bethlehem of Judah, Art in no wise least among the kings of Judah ; For out of thee shall come forth a king, And he shall rule my people Israel.
3	7	Matt	2	8	"Then Herod, when he had privily called the wise men, inquired of them the time "" Now when Jesus was born in Bethlehem of Judaea, in the days of Herod the king,"" and substituting more vaguely, ""After t"
3	9	Matt	2	9	may come and worship him. And when they had heard the king they went their way ; and lo, the star, which they had seen in the east, went before them, till it came and stood over the place, where the c
3	10	Matt	2	10	was. And when they saw the star, they
3	19	Matt	1	19	But when king Herod was dead, the angel of the Lord appeared in a dream to Joseph
3	20	Matt	1	20	in Egypt, and said unto him. Arise and take the child and his mother, and go into the land of Israel : for they are dead that sought
3	22	Matt	1	22	of Israel. But when he heard that Archelaus was become king in Judaea instead of his father Herod, he was afraid to go thither ; but he saw in a dream that he should go
3	23	Matt	1	23	into the land of Galilee, and that he should dwell in a city that is called Nazareth : that it might be fulfilled which was spoken through the prophet. He shall be called a Nazarene.
3	24	Luke	2	40	And the child grew, and waxed strong in spirit, filled with wisdom : and the grace of God was upon him.
3	25	Luke	2	41	And his parents went every year to
3	26	Luke	2	42	Jerusalem at the feast of the passover. And when he was twelve years old, they went up
3	27	Luke	2	43	after their custom to the feast; and when the days were fulfilled, they returned; but the boy Jesus tarried behind in Jerusalem ; and Joseph and his mother knew it not,
3	28	Luke	2	44	supposing him to be with the children of their company. And when they had made a days journey, they sought for him among
3	29	Luke	2	45	their kinsfolk and acquaintance: and when they found him not, they returned to Jeru-
3	30	Luke	2	47	salem, seeking for him again. And after three days they found him in the temple, sitting in the midst of the doctors, hearing i 3 1 them, and asking them questions : and all that heard him were amazed
3	32	Luke	2	48	and sayings. And when they saw him, they were astonished : and his mother said unto him, My son, why hast thou thus dealt with us ? Behold, I and thy father were seeking
3	33	Luke	2	49	thee with great anxiety. And he saith unto them. How is it that ye sought me ? did ye not know that I must be in my Fathers
3	34	Luke	2	50	house ? And they understood not the say-
3	36	Luke	2	52	And Jesus advanced in stature and wisdom, and in favour with God and men.
3	37	Luke	3	1	Now in the fifteenth year of the reign of Tiberius Caesar, Pontius Pilate being governor of Judaea, and Herod being tetrarch of Gali- lee, and his brother Philip tetrarch of the region of Ituraea and 
3	38	Luke	3	2	tetrarch of Abilene, under the high priests Annas and Caiaphas, the word of God went forth unto John, the son of Zacharias, in the
3	39	Luke	3	3	wilderness. And he came into all the region round about Jordan, preaching the baptism
3	40	Matt	3	1	of repentance with remission of sins ; and he
3	41	Matt	3	2	preached in the wilderness of Judaea, and said, Eepent ye, the kingdom of the heavens
3	42	Matt	3	3	is at hand. This is he that was spoken of through Isaiah the prophet, The voice which crieth in the wilder- ness,
3	43	Luke	3	4	Make ye ready the way of the Lord, And establish in the plain a way for our God.
3	44	Luke	3	5	AU the valleys shall be filled ;  Omitting Mark i. 2 ; cf. xiii. 47. And every mountain and hill shall be brought low ; And the crooked shall become straight ; And the difficult place easy ;
3	45	Luke	3	6	And all flesh shall see the salvation of God.
3	46	John	1	7	The same came for a witness, that he might bear witness of the light, that all might
3	47	John	1	8	believe through him. He was not the light, but came, that he might bear witness of the
3	48	John	1	9	light, which is the true light, lighting every
3	49	John	1	10	man, coming into the world. He was in the world, and the world was made through him,
3	53	John	1	14	And the Word became flesh, and dwelt among us (and we saw his glory, as it were the glory of the only one from the Father),
3	54	John	1	15	full of grace and truth. John bare witness of him, and preached, saying, This is he of whom I said, He that is about to come after me is preferred before me : for he was before
4	1	John	1	18	Christ. No man hath seen God at any time; the only one of God, who is in the bosom of the Father, he hath declared Mm.
4	2	John	1	19	And this is the witness of John, when the Jews sent unto him from Jerusalem priests and Levites to ask him. Who art thou?
4	3	John	1	20	And he confessed, and denied not ; and he acknowledged that he was not the Messiah.
4	4	John	2	1	And again they asked him. What then ? Art thou Elijah ? And he said, I am not. Art said unto him, Who art thou ? that we may give an answer to them that sent us. What
4	6	John	2	23	sayest thou of thyself ? He saith, I am the voice of one crying in the wilderness, Set in order the way of the Lord, as said Isaiah
4	7	John	2	24	the prophet. And they that had been sent
4	8	John	2	25	were of the Pharisees. And they asked him, and said unto him. Why then baptizest thou, since thou art not the Messiah, nor
4	9	John	2	26	Elijah, nor a prophet ? John answered and said unto them, I baptize in  water : ia the midst of you standeth one whom ye know
4	11	John	2	28	of his shoes. These things were done in Bethany beyond Jordan, where John was baptizing.
4	12	Matt	3	4	Moreover John had his raiment of camels hair, and a leathern girdle ;  and his food
4	13	Matt	3	5	was locusts and wild honey. Then went out unto him the people of Jerusalem, and all Judaea, and all the region round about Jordan ;
4	14	Matt	3	6	and they were baptized by him in the river
4	18	Matt	3	9	"raise up children unto Abraham. Behold, „ lO the axe is laid unto the root of the tree : • Omitting ""about Ms loins."" * Arabic, ""alzanadfika."" » Lit. ""guided."" every tree therefore that bringeth not f"
4	19	Matt	3	9	the fire. And the multitudes asked him, Lu. 3 lo
4	22	Matt	1	13	we do? He saith unto them. Ask nothing more than that which you are commanded
4	23	Matt	1	14	to ask. And soldiers asked him, saying, What shall we also do ? He saith unto them. Do violence to no man, neither act unjustly towards him ; and be content with your wages.
4	24	Matt	1	15	And as the people were considering, and all men were reasoning in their hearts con- cerning John, whether haply he were the
4	25	Matt	1	16	Christ; John answered, and said unto them, I baptize you with water ; there will come after me he that is mightier than I, of whom I am not worthy to unloose the latchets of his shoes : he shall bapti
4	27	Matt	1	18	And other things he taught, and preached good tidings unto the people.
4	28	Matt	3	13	Then cometh Jesus from Galilee to the Jordan unto John, to be baptized of him.
4	29	Luke	3	23	And Jesus was about thirty years of age, and was supposed to be the son of Joseph.
4	30	John	1	29	Now John saw Jesus coming unto him, and saith. This is the Lamb of God, which taketh
4	31	John	1	30	away the sin of the world. This is he of whom I said. After me shall come a man, which is preferred before me, for he is
4	32	John	1	31	before me. And I knew him not; but that he may be made manifest to Israel, for this
4	34	John	1	15	thou to me? Jesus answered him, and said, Suffer it now : thus it becometh us to fulfil all righteousness. Then he suffered him.
4	35	Luke	3	21	And when all the people were baptized,
4	37	Luke	3	22	was opened unto him. And the Holy Spirit descended upon him in the form of a doves
4	38	Matt	3	17	body: and lo, a voice from heaven, saying, This is my beloved Son, in whom I am well
4	39	John	1	32	pleased. And John bare witness, saying, Furthermore I saw the Spirit descending as a dove out of heaven; and it abode upon
4	40	John	1	33	him. And I knew him not; but he that sent me to baptize in  water, he said unto me. Upon whomsoever thou shalt see the Spirit descending and abiding, this is he
4	41	John	1	34	that baptizeth in* the Holy Spirit. And I have seen, and have borne witness, that this is the Son of God.
4	42	Luke	4	1	And Jesus, full of the Holy Spirit, re-
4	43	Matt	4	2	turned from the Jordan, and straightway Mk. 1 1 2 the Spirit drove  him forth into the wilder- ness, that he might be tempted of Satan; • 44 and he was with the wild beasts ; and he fasted forty days 
4	45	Matt	4	3	ward hungered. And the tempter came, and said unto him, If thou art the Son of God, command that these stones become bread.
4	46	Matt	4	4	"He answered and said, It is written, Man * Or, ""with."" Or, ""led."" which therefore may not have been originally in the Diatessaron. liveth not by bread alone, but by every word that proceedeth out of t"
4	47	Matt	4	5	Then Satan brought him into the holy city, and set him on the pinnacle of the temple,
4	48	Matt	4	6	and said unto him. If thou art the Son of God, cast thyself down ; for it is written, He giveth his angels charge concerning thee ; • And in their arms they shall receive thee up. Lest haply thou dash
4	49	Matt	4	7	Jesus saith unto him, Again it is written, Thou shalt not tempt the Lord thy God.
4	50	Matt	4	7	And the devil took him up into a high Lu. 4 5 mountain, and showed him all the kingdoms of the world and the glory of them in a
4	51	Matt	4	6	moment of time. And the devil saith unto him. To thee will I give all this authority, and the glory of it, which have been delivered unto me, that I may give them
4	52	Matt	4	7	to whomsoever I will. If therefore thou wilt worship before me, all shall be thine.
5	1	Matt	4	10	Jesus answered and said unto him, Get thee hence, Satan : for it is written. Thou shalt worship the Lord thy God, and him only
5	2	Luke	4	13	shalt thou serve. And when the devil had completed all his temptation, he departed
5	3	Luke	4	13	from him until the season ; and behold, Mt. 4 1 1** angels came and ministered unto him.
5	4	John	1	35	On the next day John was standing, and
5	5	John	1	36	two of his disciples ; and he looked upon Jesus, as he walked, and said. Behold the
5	6	John	1	37	Lamb of God ! And his two disciples heard him speakiag; and they followed Jesus.
5	7	John	1	38	"And Jesus turned, and saw them following, and said unto them. What seek ye ? They said unto him. Master,* where dwellest thou ?  Arabic, "" Our great one."""
5	8	John	1	39	He said unto them, Come, and see. And they came, and saw the place of his abode ; and they remained with him that day : and
5	9	John	1	40	it was about the tenth hour. One of the two, that had heard from John, and had followed Jesus, was Andrew, Simons brother.
5	12	John	1	43	On the morrow Jesus wished to go forth into Galilee ; and he found Philip, and said
5	14	John	1	45	And Philip found Nathanael, and said unto him. We have found him, of whom Moses in the law, and the prophets, did write, to be Jesus, the son of Joseph, from Nazareth.
5	15	John	1	46	Nathanael said unto him. Can any good thing be found from Nazareth ? Philip said
5	16	John	1	47	unto him. Come, and see. And Jesus saw Nathanael coming to him, and said of him. This is indeed a son of Israel, in whom is no
5	18	John	1	49	under the fig-tree, I saw thee. Nathanael answered, and saith unto him. Master, thou art the Son of God ; thou art king of Israel.
5	19	John	1	50	Jesus said unto him, Because I said unto thee, I saw thee imder the fig-tree, thou behevedst: thou shalt see what is greater
5	21	Luke	4	14	And Jesus returned in the power of the Spirit into Galilee.
5	22	John	2	1	And the third day there was a feast in Cana/ a city of Galilee ; and the mother of
5	23	John	2	2	Jesus was there: and Jesus also was bidden,
5	24	John	2	3	and his disciples, to the feast. And when the wine failed, his mother said unto Jesus,
5	25	John	2	3	They have no wine. And Jesus said unto her, Woman, what have I to do with thee ?
5	26	John	2	3	hath not my hour come? But his mother said unto the servants, Whatsoever he saith
5	27	John	2	3	unto you, do it. There were six waterpots of stone set there for the purification of the Jews, containing two or three firkins apiece.
5	28	John	2	3	And Jesus said unto them, Fill the water- pots with water. And they filled them up
5	29	John	2	3	to the brim. He said unto them, Draw out now, and bear unto the ruler of the feast.
5	30	John	2	3	And they did so. And when the ruler of the feast tasted the water, which was become wine, and knew not whence it was (but the servants knew, because they had drawn the water), the ruler of the feast
5	31	John	2	10	called the bridegroom, and said unto him, Every man setteth on first the good wine ; and when men have drunk freely, he brings that which is worse : but thou hast kept
5	32	John	1	1	the good wine until now. This was the first sign, namely, that which Jesus did in Cana of Galilee, and manifested his glory ; and
5	33	John	1	1	"his disciples believed on him. And his fame Lu. 4 14 a heading, ""Ordo et solemnitas Apostolonim Domini,"" followed by remarks upon the class of men chosen for the twelve disciples. Dr. Wace thought thi"
5	34	Luke	4	15	And he taught in their synagogues, and was glorified by aU men.
5	35	Luke	4	16	And he came to Nazareth, where he had been brought up : and he entered, according to his custom, into the synagogue on the
5	37	Luke	4	18	The Spirit of the Lord is upon me, Because he anointed me to preach good tidings unto the poor ; And sent me to heal the bruised in heart; To  proclaim forgiveness to the wicked  and sight to the blin
5	38	Luke	4	19	And to proclaim the year acceptable to the Lord.
5	39	Luke	4	20	And he closed the book and gave it back to the attendant ; and went away, and sat down : and the eyes of all, that were stand- ing in the synagogue, were turning upon him..
5	40	Luke	4	21	And he began to say unto them, To-day hath this scripture been fulfilled, which ye
5	41	Luke	4	21	have heard with your ears. And all bare „ 22* him witness, and wondered at the words of grace, which proceeded out of his mouth.
5	42	Luke	4	21	"From that time began Jesus to preach the Mt. 417"" gospel of the kingdom of God, and to say,"
5	43	Luke	4	21	Eepent ye, and believe in the gospel. The Mk.* 1 1 5 time is fulfilled, and the kingdom of the heavens is at hand.
5	44	Luke	4	21	And walking by the sea of Galilee, he saw Mt. 4 i8 two brethren, Simon, who is called Cephas, and Andrew his brother, casting their nets
5	45	Luke	4	19	into the sea; for they were fishers. And Jesus saith unto them, Follow me, and I will
5	46	Luke	4	20	make you fishers of men. And they im- mediately left the nets there, and followed
5	47	Luke	2	1	him. And going on from thence he saw other two brethren, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets ;
5	48	Luke	2	22	and Jesus called them. And they straight- way left the boat and their father Zebedee, and followed him.
5	49	Luke	5	1	And when the multitudes were come to- gether unto him, to hear the word of God, and he was standing by the lake of Gen-
5	50	Luke	5	2	nesaret, he saw two boats standing by the lake : but the fishermen, who had come up
5	51	Luke	5	3	therefrom, were washing their nets. And one of them was Simon Cephass ; and into it Jesus went up, and sat down in it, and commanded them to put out a little from the land into the water. And sitting 
5	52	Luke	5	4	And when he ceased to speak, he said unto Simon, Put out into the deep, and let out
5	53	Luke	5	6	your nets for a draught. Simon answered, and said unto him. Master, we toiled all night, and took nothing: but at thy word 541 will let out the nets. And when they had done this, they inclosed an abun
6	1	Luke	5	8	"boats, so that they were almost sunk. But when Simon Cephas saw it, he fell down at Or "" cast."" Jesus feet, and said unto him, Lord, I beseech of thee, that thou depart from me,"
6	2	Luke	5	9	for I am a sinful man. For amazement  had taken possession of him, and all that were with him, at the draught of the fishes,
6	3	Luke	5	10	which they had taken ; so also it had seized James and John, the sons of Zebedee, which were Simons partners. And Jesus saith unto Simon, Fear not ; from henceforth thou
6	4	Luke	5	11	shalt be catching men unto life. And when they had brought their boats to land, they left all, and followed him.
6	5	John	3	22	After these things came Jesus and his disciples into the land of Judah ; and there he went about with them, and baptized.
6	6	John	3	23	John also was baptizing in Aennon near to Salim, because there was much water there : and they were coming, and were being
6	8	John	3	25	prison. Now there arose a questioning between a disciple of John and a Jew about
6	9	John	3	26	purification. And they came unto John, and said unto him. Master, he that was with thee beyond Jordan, to whom thou barest witness, behold, he also baptizeth,
6	10	John	3	27	and many come to him. John answered and said unto them, A man can receive nothing of himself, except it have been
6	12	John	3	29	Messiah, but one sent before him. He that hath the bride is the bridegroom : and the friend of the bridegroom is he, which standeth and heareth him attentively, and rejoiceth with great joy at the bri
6	13	John	3	29	He must increase, but I must decrease.
6	14	John	3	29	He that cometh from above is above all : he that is from the earth is from the earth, and from the earth he speaketh : he that hath come down from heaven is above all.
6	16	John	3	29	witness. He that hath received his witness, hath set his seal to this, that he is truly
6	20	John	3	29	And Jesus knew that the Pharisees had heard, that he had admitted, and that he
6	21	John	3	29	baptized more disciples than John (not that Jesus himself was baptizing, but his dis-
6	22	John	3	29	ciples); and he left Judaea.
6	23	John	3	29	Now Herod the governor, when he was reproved by John concerning Herodias his brother Philips wife, and concerning all the
6	24	John	3	29	evn things which he was doing, added this also above all, that he shut up John in prison.
6	25	John	3	29	Now when Jesus heard that John had Mt. 4 12 been delivered up, he withdrew into GaKlee ;
6	26	John	3	29	and he entered again into Cana, where he made the water wine. And there was at Capernaum a certain officer of the king. When he heard, that Jn. 4 46
6	27	John	3	29	whose son was sick. 36, voice : behold, now my joy is already fulfilled.
6	28	John	4	48	he was very near to death. Jesus said unto him. Except ye see signs and wonders, ye
6	29	John	4	49	do not believe. The officer of the king said unto him. Sir, come down, lest my child die.
6	30	John	4	50	Jesus said unto him, Go thy way; thy son liveth. The man believed the saying, that Jesus spake unto him, and he went his way.
6	31	John	4	51	And when he went down, his servants met him, and announced to him, sayiug, Thy son
6	32	John	4	52	liveth. And he inquired of them in what hour he got better. They said unto him. Yesterday at the seventh hour the fever left
6	33	John	4	53	him. And his father knew, that this had happened at that hour, in which Jesus said unto him. Thy son liveth : and himself believed, and the whole family of his house.
6	34	John	4	54	And this is the second sign, that Jesus did, when he returned out of Judaea into Galilee.
6	35	Luke	4	44	And he was preaching in the synagogues
6	37	Luke	4	14	that it might be fulfilled, which was spoken through Isaiah the prophet, saying,
6	38	Luke	4	15	The land of Zebulun, the land of Naphtali, The way of the sea beyond Jordan, Galilee of the peoples,
6	40	Luke	4	32	And he was teaching them on the sabbaths: Lu. 431 and they were astonished at his teaching, for his speech was as if it had authority.
6	41	Luke	4	33	"And in the synagogue there was a man, * Or, "" gave him the good news."" S which had an unclean devil ; and he cried"
6	42	Luke	4	3	out with a loud voice, saying, Let me alone, what have I to do with thee, Jesus of Naza- reth ? thou art come to destroy us. I know thee who thou art, the Holy One of God.
6	43	Luke	4	3	And Jesus rebuked him, sayiag. Shut up thy mouth, and go out of him. And the devil threw him down into the midst, and -went out of him, when he had done him no hurt.
6	44	Luke	4	3	And great wonder took hold of all, and they spake one with another, saying. What is this word, which in authority and power com- mandeth the imclean spirits and they go
6	45	Luke	4	3	out. And a rumour concerning him was published into all the neighbouring region.
6	46	Luke	4	3	And Jesus going out of the synagogue, saw a man sitting among the publicans, Mt. 9  Matthew  by name ; and he saith unto him. Come after me. And he arose, and followed him.
6	47	Mark	1	2	And Jesus came into the house of Simon
6	48	Luke	4	3	and Andrew, with James and John. And Simons wifes mother was holden* with a great fever ; and they besought him for her.
6	49	Luke	4	3	And he stood over her, and commanded her fever ; and it left her ; and immediately she
6	50	Matt	8	1	rose up, and miaistered unto them. And when even was come, they brought unto him many possessed with devils : and he cast out
6	51	Luke	4	41	their devils with a word. And all that had any sick with grievous and divers diseases, brought them unto him ; and layiug his hand
6	52	Luke	4	41	on each, he healed them; that it might be Mt. 8 I fulfilled which was spoken, through Isaiah the prophet, saying, Himself shall take our
6	53	Mark	1	3	infirmities, and bear our diseases. And all the city was gathered together unto the door xliii. 53.
6	54	Mark	1	3	of Jesus ; and again he cast out devils from Lu. 441 many, because they cried out, and said. Thou art the Son of God. And he rebuked them, and suffered not the devils to speak, because they knew that 
7	1	Mark	1	35	And very early in the morning of that day, he went out, and departed into a desert
7	2	Mark	1	36	place, and was there praying. And Simon and they that were with him sought him ;
7	3	Mark	1	37	and when they had found him, they said unto
7	4	Mark	1	38	him, AU are seeking thee. He saith unto them. Let us go into the next villages and cities, that I may preach there also ; for to
7	5	Luke	4	42	this end am I come. And the multitudes sought after him, and came until they over- took him ; and they laid hold of him, that
